Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4
M833,2,108,218503,204306,199884,80,-0.4657266252110045,-1.5537667860712452,-1.4055704163840836,1.6837966968318407
KBOR,17,178,126629,101845,20196,312,1.0437181770167008,0.6397996168072085,-0.16978710735219313,0.7545881083918273
KBDA,19,112,56896,56896,31712,126,1.0437181770167008,0.6397996168072085,-0.16978710735219313,0.7545881083918273
XAIN,9,121,114030,115828,25423,30,-2.087513146269508,0.7777843810388901,-0.5941377083880678,0.2706755375381426
KBUH,21,119,94132,76182,14120,175,-2.2168091702060404,0.7241530749632046,-0.35116763011679725,0.3120127774889963
KBGZ,15,122,115467,179372,116248,31,-2.2168091702060404,0.7241530749632046,-0.35116763011679725,0.3120127774889963
KBSG,32,120,22277,29044,29044,368,2.2730467578869082,0.29312698284995276,-0.3992912786973302,0.9326488712132963
KBRV,32,173,11349,19225,1108,153,1.0437181770167008,0.6397996168072085,-0.16978710735219313,0.7545881083918273
KASV,17,190,22793,40144,40144,260,2.1598569055756762,0.2805604027224163,-1.0143826553544937,0.902854437116005
Q043,27,158,704200,540164,488293,181,-2.360137894588824,0.036392900010500946,0.534663086977501,0.5303261883948448
Q089,24,183,53230,73086,66520,183,11.843419156906677,-1.4365958467014077,0.48944737085803913,2.78921996805747
X368,10,136,542500,184418,23824,86,16.19528424261734,-1.7034342074661535,-0.17197618741050108,2.997922625882687
R019,31,178,4878398,4878398,745274,197,9.900982721016174,-1.6426019143819675,1.5272058583547112,2.4901003006232862
Q415,26,155,122250,79175,79175,154,3.111000187694525,-0.798002120650709,0.6753541784656628,-0.15502409315923468
M490,3,189,74750,116651,14787,221,-9.130097233795468,1.3877436117690216,-1.0152910036705425,-0.24959655346235027
X067,12,141,61592,117324,113028,277,1.5010214211541424,-0.189960016346688,-0.6935796621739135,0.005963197432918605
X405,8,123,52500,110527,83346,99,-17.240756086329373,1.2556717955692789,0.012406649303587446,-2.0069581183254512
K257,14,153,106328,106328,4411,158,4.1303387365927495,-0.5349139141456982,-0.6904025164437276,3.207509855467993
X113,11,153,78227,198618,166172,280,-17.240756086329373,1.2556717955692789,0.012406649303587446,-2.0069581183254512
Q053,27,122,79562,74079,74079,80,-7.997736298999327,0.5218805164805006,-0.46763419960474034,-0.9898879915842386
X076,11,125,71969,85738,55855,23,-17.496493922705206,1.233721348255203,-0.2416885331162734,-1.9857391739919918
K279,18,180,82500,113162,111956,177,-8.79170344692197,1.4958224632877415,0.6260397757352859,1.7068977150920608
R128,31,247,2198567,2198567,492493,265,10.241097319401245,-0.41143314064041137,0.033810641016896306,1.3513365911717383
K860,18,153,195360,281775,281775,287,-13.538032068061788,1.1615882053663873,0.9861843587524486,0.7127614858661719
K818,18,185,234927,231321,186739,183,-8.922369385364217,2.0603216061027387,0.501539204619727,0.5889182966027062
K145,32,141,58979,114041,108689,123,10.748942283465524,-1.1862522838458092,0.5628331106204452,1.3596695117883622
M520,2,122,104750,164761,164761,136,-9.225100068768455,-0.42975594203337814,0.4601089776757955,0.6300802907796655
M521,2,196,419648,459812,287067,176,-7.946316857586624,1.0335286061878866,0.36354216497785274,-0.01204295078531563
K415,18,120,122212,285454,281195,50,-11.083969099858633,-0.11462077790557293,0.11647307487433675,0.1238915730440923
R014,31,183,55530,107944,72115,162,15.52827116897039,-1.57637325184379,0.7440948563435953,3.025194995883204
R003,31,183,124900,95200,78137,162,15.52827116897039,-1.57637325184379,0.7440948563435953,3.025194995883204
M048,6,188,75804,106822,105493,196,15.52827116897039,-1.57637325184379,0.7440948563435953,3.025194995883204
R126,31,185,2039747,2039747,53514,169,11.66730249695293,-1.107052527339434,0.15455555909985674,0.5746471259327327
Q739,30,183,170568,190842,190842,161,-1.0526021593218897,0.27587073978043775,-0.009984047444380044,0.19951707805889568
M175,5,147,116471,119742,96550,181,-6.820800832942388,0.5059577697432253,-0.7125081964042568,-0.19777030738994236
X055,9,133,112861,158408,121247,143,-6.820800832942388,0.5059577697432253,-0.7125081964042568,-0.19777030738994236
M620,2,159,36630,40469,36724,174,-3.3944356581267066,0.670712131237682,-1.692602775977582,-0.0860888930182338
K831,13,223,2039370,2039370,956411,229,18.325475739783645,-1.722609068932574,1.237457261734821,3.08177313913724
R004,31,150,196500,186059,156170,287,3.148785276790091,0.41717212004406307,-1.6224154610110484,0.7362817463656
K314,20,155,501798,650002,386780,176,-6.749538070352084,0.5402747810819855,-0.6672663118686084,0.5887459608835796
