Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
M833,2,108,218503,204306,199884,80,0.020865230221140563,0.0009822277623372357,-0.009165422887612936,-0.005855578185602278,0.008543597693036854,0.006959539924087797,0.0028429728128389706,0.009124395376998894,0.009011149088935227,-0.0031503731683324276
KBOR,17,178,126629,101845,20196,312,-0.048116830422098196,0.0055155353109590825,-0.010746684978227856,-0.0031272919594874118,-0.005068756337698286,0.004952350706406676,0.0017430037893229776,0.003215651627301666,0.006460175947188555,0.0011731458887957293
KBDA,19,112,56896,56896,31712,126,-0.048116830422098196,0.005515535310959104,-0.01074668497822824,-0.003127291959487716,-0.005068756337698326,0.004952350706406804,0.0017430037893230478,0.0032156516273017335,0.006460175947189128,0.00117314588879561
XAIN,9,121,114030,115828,25423,30,0.07845668557231865,0.00554646682338019,-0.007362488434936512,-0.0034060955700174777,-0.006650417009936214,0.002705292838164052,0.0014790567019850782,0.003522124631879009,0.0048806098937867895,0.0013673946472629681
KBUH,21,119,94132,76182,14120,175,0.0826921678443418,0.005237760006354115,-0.008183772212378143,-0.0022915822598667014,-0.006228968904499894,0.0043561825548742794,0.0027246667935225785,0.00481312384428573,0.005181505519984486,7.107369567270746e-05
KBGZ,15,122,115467,179372,116248,31,0.0826921678443418,0.005237760006354115,-0.00818377221237814,-0.0022915822598667023,-0.006228968904499815,0.0043561825548744555,0.0027246667935224497,0.004813123844285178,0.005181505519984391,7.107369567324713e-05
KBSG,32,120,22277,29044,29044,368,-0.09715401732490646,0.002970643855175527,-0.01136076590760972,-0.005063980869641296,-0.0036940432245074033,-0.00019284860003747746,0.0010481912355425743,0.0036864007073718814,0.006921139061575117,0.0007141326328197865
KBRV,32,173,11349,19225,1108,153,-0.048116830422098196,0.005515535310959108,-0.010746684978228295,-0.0031272919594875132,-0.005068756337698391,0.004952350706406729,0.0017430037893227395,0.003215651627301619,0.006460175947188897,0.0011731458887953264
KASV,17,190,22793,40144,40144,260,-0.0923430919268711,0.0021591457746279017,-0.00920858632525286,-0.007052575075690046,-0.004114710434195141,-0.0018824041663970204,-0.0006608460047939697,0.0010960788762654065,0.006564321567514854,0.0013748651751395234
Q043,27,158,704200,540164,488293,181,0.09651135053681048,0.0014257662080258613,-0.005352655099230587,0.007471291719019891,0.005322392071364519,0.004459380704042724,-0.0019824949859851403,-0.0022667374511677494,-0.0028797973524116952,-0.003921112476157426
Q089,24,183,53230,73086,66520,183,-0.48918920886733336,-0.005023147838389661,-0.022936000719622183,0.003218246967113853,0.006969750655056043,0.0025838744700499242,-7.228589979806471e-05,-0.00924090515669002,0.007341055418464955,-0.007115113838719037
X368,10,136,542500,184418,23824,86,-0.6472449093285331,-0.005946910277713575,-0.023546863201438145,0.002825659925505117,0.01133253384357301,0.006737839287003206,-0.0011649749529399492,-0.005068654662202031,0.010188143855234798,-0.002194290017820431
R019,31,178,4878398,4878398,745274,197,-0.3742795671265761,-0.01328631741667837,-0.010389678436145282,-0.011044114769237666,-0.005581662341420064,-0.00989288515144488,-0.011186032341271728,0.003928832960910018,0.00925158378058523,-0.01063329760114073
Q415,26,155,122250,79175,79175,154,-0.1462984344026011,0.00041060560504481604,-0.015441860124015619,-0.0047036635827863715,0.004169893893230337,-0.0019256354086409364,0.0023512755291678557,-0.005551963510847584,-0.0002192245852686299,-0.01404043917853367
M490,3,189,74750,116651,14787,221,0.3637353678285718,0.014534409075105054,0.0004492490162208613,-0.018763589494450204,0.0026694720335848376,0.0011709298488648521,-0.0021725187644405734,-0.003497975222902958,-0.001432970480715055,-0.003693586669351375
X067,12,141,61592,117324,113028,277,-0.06193455421937315,-0.0005603059370761928,-0.015985585527150643,0.0002807127032441932,-0.004194354378763207,0.003534516758765664,0.0005364857466673075,-0.0013081154514442994,0.004934071279337347,-0.015196817414613732
