Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,PC1,PC2,PC3,PC4
KBDD,23,154,60930,3995,3995,0.7386527183431228,0.4766953164260015,0.4658718473010629,0.8627016035724724
KAYT,23,120,64283,41240,36872,1.9855204548678307,0.09080613284509148,0.6670181474121332,0.974322879154477
K411,21,190,52748,49376,8364,8.918068086539236,0.19558603955330645,0.17659259971756655,1.336227588622732
Q090,27,152,102190,146069,145944,-17.758896687532975,1.202303122728301,-0.11513453219942292,-2.506691850822138
X655,7,169,188750,284485,246758,-6.085038518563142,0.22288066363995304,0.22208003389609793,0.4593760949815051
M490,3,139,449750,400858,335840,-6.020151332052267,-0.42153422142701924,0.23520778171142856,0.61250946133618
R072,31,158,461800,330405,309449,2.058534997156971,-0.22433833678510248,0.8769218743949044,0.9853604326049021
X131,8,133,53550,118629,49832,-8.693205561969465,0.8790427457142775,-0.03973395765871996,0.12385809818807128
K185,20,121,117330,61063,32827,7.8927556051331,-1.8719689451620367,-1.3535947464715228,3.092804480564239
R450,31,147,181400,366555,332201,-1.7549140499722315,0.1664498863491013,2.0314888219578027,1.8704022320399059
K177,21,154,190000,104229,98442,-1.7549140499722315,0.1664498863491013,2.0314888219578027,1.8704022320399059
X061,12,154,206250,314354,279152,-1.7549140499722315,0.1664498863491013,2.0314888219578027,1.8704022320399059
R445,31,163,429300,379907,309012,-5.733162623937102,1.825804093206114,0.7816854806924479,1.0914511672372107
M158,2,188,145516,227348,196161,-7.801548589796935,1.105461070988351,2.0662948000198065,1.762752698274176
K505,20,124,892900,781148,582900,-7.32532606693335,1.614383228248568,0.6772681139674508,0.5129101625025981
M440,2,185,883400,521017,480422,9.365745916253601,-0.8808260909108858,-0.39284696301294575,2.7247400024304524
K680,15,217,340372,153716,135902,16.678755811011726,-3.2721003636011416,1.6057527112058154,3.3836604522323914
Q578,27,91,321867,266408,226064,16.678755811011726,-3.2721003636011416,1.6057527112058154,3.3836604522323914
K337,20,108,203037,96587,87898,16.678755811011726,-3.2721003636011416,1.6057527112058154,3.3836604522323914
Q096,27,96,149050,356566,352367,16.678755811011726,-3.2721003636011416,1.6057527112058154,3.3836604522323914
