Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
KBDD,23,154,60930,3995,3995,-0.03564669876917074,0.004159266516400828,-0.01000748774999191,-0.0051475882045996955,-0.005266015191845453,0.0012156012381420416,-0.0050530770997187025,0.0002441864241727079,0.006493969997387682,0.0009627911843625633
KAYT,23,120,64283,41240,36872,-0.08467264317014705,0.001417448460095239,-0.010526273309433842,-0.006716426496901147,-0.003003966193682997,-0.0009689547881812365,-0.0017848934942103754,-0.0024078729982083187,0.008006288139367535,0.002288276152682093
K411,21,190,52748,49376,8364,-0.35632857622760683,0.0008567699245552612,-0.011600811385997745,0.0006987184405174662,0.00662487679829037,-0.0005522252961616708,-0.0010074547576621382,-0.0011306542864101818,0.0024772765710012238,0.0036957640241892546
Q090,27,152,102190,146069,145944,0.694381211996517,0.014791028671599434,0.006565194592166921,-0.019725996770730204,-0.014804252760404498,-0.009930840840760902,0.0067464377861972714,0.004660364062127444,0.0010925627479884616,0.005729457855030948
X655,7,169,188750,284485,246758,0.2392847231310073,0.01027177606553229,-0.0015696566118128534,-0.01347202793294509,-0.0018352466426008183,-0.009180541135640808,0.0007509338922790737,0.005931619620442716,0.005726059692875002,0.0026391390679140663
M490,3,139,449750,400858,335840,0.23104697763960738,0.0044169924092666915,-0.0051045390790642325,-0.014218271802441253,-0.0027694439150493418,-0.00308715775897321,-0.002398876893130232,0.001471806207243041,0.0009198240442229269,0.0015990308585543888
R072,31,158,461800,330405,309449,-0.08888419932351306,0.0030519701921071377,-0.008482699866929207,-0.004120583324915356,0.005920231556733439,0.005574798238572438,-0.004868323437581438,-0.0037607898749835583,0.00628827791800666,0.003378179951486844
X131,8,133,53550,118629,49832,0.3343169272061177,0.01323572825292185,-0.004094665769609724,-0.008605706880885688,-0.0055267216337156495,-0.008294702693684156,0.002135855526053109,0.010630236795976286,0.013411652077003258,0.006487155688347525
K185,20,121,117330,61063,32827,-0.3089984824335288,-0.007393671479773559,-0.021961940349072135,0.005677555740710157,0.003643411407958433,-0.00013667387768881732,-0.005177204209970456,6.7004730203373e-06,0.010973507487552641,0.006119413985459862
R450,31,147,181400,366555,332201,0.06831569722086574,0.012726583162971226,-0.010421413579696764,-0.013957315144414999,0.003380232600916412,0.02265665062549633,-0.02653659091964941,-0.026281987153882958,0.006430806961460109,-0.011307195107632327
K177,21,154,190000,104229,98442,0.06831569722086571,0.012726583162971263,-0.010421413579696743,-0.013957315144415007,0.0033802326009164177,0.02265665062549634,-0.026536590919649366,-0.02628198715388294,0.006430806961460112,-0.011307195107632324
X061,12,154,206250,314354,279152,0.0683156972208657,0.012726583162971246,-0.01042141357969675,-0.01395731514441499,0.003380232600916409,0.02265665062549632,-0.026536590919649418,-0.02628198715388294,0.006430806961460112,-0.011307195107632336
R445,31,163,429300,379907,309012,0.22358003932911585,0.020027772553368735,-0.006902744531604639,0.002762167363654955,0.004806142941836903,0.015895538943928582,-0.015100754854038615,-0.014755169796374163,0.00416161571075464,-0.004965389297401191
M158,2,188,145516,227348,196161,0.2994275031182728,0.015437054122537028,0.0009128551149783873,-0.01717863163397348,-0.00027821132271384203,0.019902612491723266,-0.01371676576665801,-0.012592156629341923,0.001146917768958709,-0.009084189938115663
K505,20,124,892900,781148,582900,0.2820912988733498,0.013664830399921337,9.7769847702735e-05,-0.006653169625046357,0.0008939626061069191,0.005476376395710922,-0.006129017169488419,-0.002297683058622259,-0.0008240025479242479,-0.0008249849318202098
M440,2,185,883400,521017,480422,-0.37725432326729463,-0.002101479355500436,-0.018644561024340575,0.0012676327024887563,0.0038359857346962276,-0.004395772516493276,-0.006161609954736355,0.009096261957432935,0.0008429413137149602,0.007817850640683357
K680,15,217,340372,153716,135902,-0.6556020215966374,-0.020785873675033033,-0.054886874285347595,-0.014622894122799384,0.011519529258049502,-0.00205426499485897,0.007965553861531506,0.005494018795669024,-0.0030393961263071962,-0.007887780011257317
Q578,27,91,321867,266408,226064,-0.6556020215966375,-0.020785873675033026,-0.05488687428534761,-0.014622894122799395,0.011519529258049489,-0.0020542649948589674,0.007965553861531516,0.005494018795669022,-0.003039396126307184,-0.00788778001125731
K337,20,108,203037,96587,87898,-0.6556020215966375,-0.020785873675033033,-0.05488687428534761,-0.014622894122799386,0.011519529258049485,-0.002054264994858964,0.007965553861531515,0.005494018795669021,-0.0030393961263071936,-0.007887780011257308
Q096,27,96,149050,356566,352367,-0.6556020215966375,-0.020785873675033022,-0.054886874285347595,-0.014622894122799398,0.011519529258049496,-0.002054264994858963,0.007965553861531508,0.005494018795669017,-0.0030393961263071884,-0.00788778001125731
Q104,27,141,62775,81374,74898,-0.5262364555022747,0.0012294381988354548,-0.020070746530796692,-0.0013712915861273725,0.005710242536291018,-0.004330147408504224,-0.007154766652600826,0.004077910756396643,0.0011258838232871033,0.011395673332678394
Q152,30,155,25472,13298,13298,0.5206945116299525,0.0035961047040694027,-0.0022552511057357103,-0.007470967154312923,-0.006031571101564911,-0.0008608625405218838,0.00024325889452565545,-0.0012802653477418614,-0.0003224872859698575,0.0036841120751368653
Q109,29,155,22635,25126,25126,0.3552267735124503,0.0025536100390004617,-0.001974966494571614,-0.00920607131436295,-0.005373054653211444,0.0011982746595630253,0.000877981605867713,0.001118607805733867,0.003869398584327138,0.0034202307686640745
X088,9,156,13056,8340,8340,0.3552267735124504,0.0025536100390004396,-0.0019749664945716097,-0.00920607131436295,-0.005373054653211456,0.0011982746595630331,0.0008779816058677141,0.001118607805733858,0.003869398584327134,0.0034202307686640775
K191,17,219,1454172,683308,630541,0.5629687556295154,0.01135285263221773,0.010668247823124113,-0.013431155946568508,-0.00512081016249083,-0.0010227807741888637,-0.002043119398929613,0.003118079984286804,-0.0018445900393103338,-0.001302608165808244
R005,31,144,102919,446883,181926,0.42777457157688664,0.005805204546330944,0.004202282246695398,-0.007981441320383849,-0.0071182674987090595,-0.007639911799429168,-0.0011285084663207295,0.003030998111837533,-0.0013392357515933362,0.0033513592088887426
Q116,29,156,233321,160551,88577,-0.01910717867526189,0.0034891155243711052,-0.008424596960973108,-0.010522307408958743,0.0024550010090403163,-0.005499214395378696,-0.0013915628199511092,0.004156996883390788,-0.00369391177898998,0.003875280126870557
K171,19,153,188350,117901,105589,0.22348829826820937,-0.025582466466542296,0.007271335589753243,0.011594759164472885,0.0037731861915562773,0.011738767493629568,-0.014407149647101741,0.014803771979577373,-0.00915866101022131,0.003485607873061534
K110,14,155,62138,171537,163959,0.22348829826820946,-0.025582466466542303,0.007271335589753237,0.01159475916447288,0.0037731861915562856,0.011738767493629591,-0.01440714964710174,0.014803771979577362,-0.009158661010221303,0.0034856078730615423
